Month,DayofMonth,DepTime,ArrTime,UniqueCarrier,TailNum,Origin,Dest,Price,FuturePrice
1,15,19.0,20.0,CO,N18112,CLE,BWI,6117.0,7551.0
1,6,9.0,10.0,UA,N388UA,MCI,DEN,8366.0,7281.0
1,6,19.0,21.0,US,N736UW,LGA,PIT,8073.0,7981.0
1,1,8.0,11.0,OH,N977CA,DFW,CVG,22270.0,20846.0
1,6,11.0,17.0,DL,N628DL,SLC,EWR,3383.0,4137.0
1,21,14.0,15.0,WN,N688,BNA,MDW,10844.0,13593.0
1,21,18.0,21.0,CO,N23657,EWR,SAT,9270.0,7044.0
1,1,6.0,8.0,UA,N557UA,ORD,DEN,6121.0,6340.0
1,12,18.0,19.0,DL,N2310,SLC,SJC,6218.0,7769.0
1,15,19.0,21.0,HP,N636AW,DTW,PHX,6117.0,5293.0
1,6,6.0,9.0,HP,N619AW,LAS,PHX,13941.0,10965.0
1,21,10.0,11.0,OO,N234SW,LAX,CLD,7139.0,6355.0
1,24,13.0,16.0,DH,N669BR,ORD,CHS,11134.0,13804.0
1,12,12.0,15.0,DL,N913DL,LGA,ATL,10991.0,11912.0
1,27,19.0,21.0,DL,N993DL,ATL,LGA,6540.0,5618.0
1,21,20.0,21.0,FL,N945AT,ATL,MEM,4880.0,4600.0
1,12,13.0,16.0,NW,N342NB,MSP,CLE,6297.0,7038.0
1,12,15.0,16.0,MQ,N856MQ,ORD,BMI,7229.0,5884.0
1,18,20.0,23.0,WN,N429,STL,BWI,4174.0,3821.0
1,21,15.0,16.0,OO,N585SW,IAH,ACT,4649.0,3960.0
1,3,20.0,22.0,FL,N933AT,PHL,TPA,15318.0,19468.0
1,6,18.0,21.0,AA,N7ABAA,ORD,DFW,7757.0,8152.0
1,15,9.0,10.0,WN,N798,OAK,LAX,14687.0,16624.0
1,27,11.0,16.0,AA,N373AA,DFW,HNL,8625.0,6722.0
1,6,6.0,8.0,CO,N15659,BTR,IAH,13941.0,13253.0
1,24,14.0,16.0,DH,N681BR,MDT,ORD,10262.0,9549.0
1,24,18.0,23.0,UA,N482UA,DEN,LGA,7303.0,8478.0
1,18,15.0,21.0,NW,N506US,SAN,MSP,7229.0,7876.0
1,27,7.0,9.0,WN,N746,BWI,BNA,5281.0,5406.0
1,3,17.0,21.0,WN,N412,PHX,STL,14871.0,15746.0
1,1,16.0,19.0,AA,N287AA,FLL,ORD,13302.0,12449.0
1,6,7.0,8.0,WN,N395,FLL,JAX,19225.0,23086.0
1,27,22.0,0.0,FL,N973AT,ATL,MSP,10441.0,11052.0
1,3,19.0,20.0,MQ,N508MQ,CMH,ORD,6478.0,7048.0
1,21,8.0,10.0,AA,N2DDAA,ORD,XNA,3332.0,4070.0
1,12,15.0,18.0,UA,N313UA,DEN,MSY,7229.0,6720.0
1,24,11.0,12.0,HP,N168AW,LAX,LAS,4667.0,3553.0
1,18,21.0,22.0,US,N700UW,PHL,BOS,3943.0,3721.0
1,9,16.0,17.0,AA,N411AA,AUS,HOU,4823.0,3839.0
1,24,17.0,19.0,WN,N304,BWI,MDW,4804.0,5004.0
1,27,17.0,19.0,MQ,N503MQ,AMA,DFW,4878.0,5308.0
1,3,12.0,13.0,XE,N16981,BTR,IAH,5117.0,3951.0
1,12,11.0,14.0,US,N438US,PIT,TPA,3383.0,4272.0
1,18,13.0,16.0,NW,N351NB,MSP,BDL,4441.0,3619.0
1,12,13.0,15.0,DL,N656DL,LAS,SLC,6297.0,7029.0
1,6,11.0,13.0,CO,N19621,MCI,IAH,3383.0,3550.0
1,6,8.0,11.0,US,N374US,MCI,PHL,5264.0,5101.0
1,6,19.0,20.0,MQ,N618MQ,LBB,DFW,8073.0,5998.0
1,3,13.0,15.0,CO,N14628,IAH,MSP,6092.0,4778.0
1,12,13.0,21.0,AS,N623AS,SEA,DCA,6297.0,6001.0
1,9,20.0,21.0,AA,N2BGAA,ORD,MSP,14939.0,17093.0
1,18,13.0,18.0,CO,N75851,LAS,IAH,4441.0,3544.0
1,3,6.0,7.0,UA,N335UA,SFO,LAS,5117.0,3793.0
1,27,6.0,7.0,WN,N307,ABQ,ELP,2575.0,2834.0
1,15,9.0,10.0,CO,N13665,IAH,TUL,14687.0,13085.0
1,12,22.0,23.0,EV,N536AS,ATL,CSG,13817.0,17779.0
1,12,11.0,12.0,EV,N923EV,BQK,ATL,3383.0,3724.0
1,27,20.0,21.0,AS,N778AS,OAK,SNA,14300.0,13566.0
1,1,18.0,20.0,US,N711UW,PHL,DEN,4823.0,5883.0
1,3,17.0,18.0,TZ,N310TZ,MDW,MSP,14871.0,17307.0
1,15,18.0,21.0,DL,N925DL,PVD,ATL,8855.0,7060.0
1,9,12.0,13.0,MQ,N804MQ,ORD,CMI,11596.0,8992.0
1,24,16.0,17.0,UA,N544UA,LAX,SFO,6412.0,6992.0
1,18,18.0,19.0,WN,N608,GEG,SEA,8246.0,6092.0
1,27,14.0,16.0,WN,N385,SLC,PHX,12898.0,13398.0
1,27,21.0,21.0,WN,N639,PDX,GEG,5775.0,6597.0
1,24,6.0,9.0,FL,N960AT,MKE,ATL,4030.0,4110.0
1,3,6.0,9.0,B6,N554JB,TPA,JFK,5117.0,6170.0
1,24,7.0,9.0,OH,N495CA,ATL,HPN,3687.0,3044.0
1,9,20.0,21.0,AA,N3ATAA,DFW,RNO,14939.0,16886.0
1,12,13.0,16.0,NW,N376NW,MSP,PHL,6297.0,5820.0
1,21,11.0,17.0,WN,N709,PHX,RDU,5932.0,5723.0
1,1,13.0,15.0,DH,N636BR,JAX,IAD,3597.0,3365.0
1,27,8.0,10.0,AA,N214AA,DCA,DFW,4760.0,3748.0
1,9,12.0,15.0,XE,N17928,BNA,CLE,11596.0,8416.0
1,21,12.0,13.0,AS,N708AS,FAI,ANC,10676.0,7892.0
1,6,19.0,20.0,OO,N948SW,ORD,CID,8073.0,7325.0
1,9,20.0,21.0,OO,N189SW,DEN,CPR,14939.0,18393.0
1,12,9.0,12.0,WN,N507,BHM,BWI,8372.0,7080.0
1,3,12.0,13.0,WN,N663,LAS,LAX,5117.0,5862.0
1,15,15.0,18.0,TZ,N550TZ,MDW,RSW,7191.0,6870.0
1,18,14.0,15.0,UA,N318UA,STL,DEN,6245.0,6868.0
1,21,11.0,13.0,AA,N422AA,ORD,ELP,5932.0,6806.0
1,6,11.0,12.0,WN,N641,ORF,BWI,3383.0,3642.0
1,12,12.0,13.0,DH,N333UE,IAD,CHO,10991.0,11937.0
1,27,17.0,19.0,US,N441US,PIT,PHL,4878.0,4794.0
1,21,19.0,20.0,MQ,N739MQ,RDU,LGA,6587.0,5823.0
1,9,19.0,22.0,WN,N732,MSY,OAK,10577.0,12697.0
1,18,12.0,13.0,AA,N5TJAA,DFW,LGB,7670.0,8298.0
1,6,19.0,20.0,OO,N460SW,DFW,SLC,8073.0,9349.0
1,18,6.0,9.0,UA,N838UA,PHL,SFO,6347.0,8118.0
1,18,10.0,12.0,UA,N314UA,EWR,ORD,3943.0,4515.0
1,6,12.0,14.0,AA,N227AA,DFW,MCI,13538.0,13740.0
1,3,16.0,17.0,OO,N925SW,SMF,SFO,14011.0,16187.0
1,27,23.0,1.0,WN,N689,BDL,BWI,11150.0,10925.0
1,15,7.0,9.0,WN,N428,LAX,ABQ,7682.0,8103.0
1,15,18.0,21.0,US,N113UW,PHL,SFO,8855.0,9221.0
1,9,22.0,23.0,AS,N795AS,SFO,PSP,10262.0,8699.0
1,9,17.0,18.0,CO,N14840,IAH,AUS,13017.0,10873.0
1,21,20.0,22.0,DL,N6703D,MCO,LGA,4880.0,4359.0
1,1,19.0,21.0,NW,N9331,PHL,DTW,10651.0,7846.0
1,9,12.0,13.0,NW,N8926E,IAH,MEM,11596.0,10354.0
1,27,14.0,16.0,XE,N29906,BNA,IAH,12898.0,12813.0
1,27,17.0,19.0,UA,N946UA,ORD,IAH,4878.0,3650.0
1,21,15.0,17.0,UA,N942UA,BOS,ORD,4649.0,3980.0
1,21,15.0,16.0,OH,N927CA,CVG,ORF,4649.0,4833.0
1,15,20.0,22.0,NW,N9335,EWR,MSP,4804.0,5658.0
1,27,19.0,22.0,UA,N447UA,ORD,PHL,6540.0,6112.0
1,12,17.0,20.0,DH,N701BR,ICT,ORD,12778.0,11475.0
1,1,11.0,17.0,DL,N1200K,LAX,ATL,19630.0,16755.0
1,24,22.0,5.0,NW,N536US,SEA,DTW,3897.0,4459.0
1,18,9.0,11.0,AA,N459AA,PVD,ORD,4668.0,3573.0
1,18,15.0,16.0,US,N176UW,DCA,PIT,7229.0,6667.0
1,9,18.0,20.0,US,N622AU,MCO,PHL,8016.0,6754.0
1,18,18.0,19.0,US,N575US,CLT,ATL,8246.0,5957.0
1,6,17.0,17.0,OH,N931CA,LEX,CVG,12677.0,12535.0
1,15,11.0,13.0,AA,N585AA,DFW,OAK,10262.0,9370.0
1,21,12.0,14.0,WN,N630,SAN,PHX,10676.0,7498.0
1,9,11.0,12.0,WN,N410,MDW,CLE,7202.0,7056.0
1,15,16.0,18.0,WN,N784,LAS,PHX,13727.0,12558.0
1,24,7.0,11.0,EV,N907EV,DFW,CHS,3687.0,4171.0
1,3,8.0,11.0,HP,N638AW,PDX,PHX,12524.0,11119.0
1,27,14.0,16.0,DL,N6710E,TPA,JFK,12898.0,11684.0
1,9,8.0,11.0,UA,N451UA,ORD,DCA,10697.0,8632.0
1,9,8.0,15.0,DL,N123DN,SAN,ATL,10697.0,12201.0
1,6,18.0,19.0,OO,N212SW,DEN,CPR,7757.0,8236.0
1,15,10.0,12.0,US,N512AU,ORD,CLT,6979.0,6496.0
1,27,17.0,18.0,AS,N775AS,PHX,PDX,4878.0,5595.0
1,21,11.0,12.0,FL,N943AT,RDU,ATL,5932.0,4773.0
1,1,16.0,17.0,UA,N471UA,ORD,GRR,13302.0,14426.0
1,21,17.0,18.0,AA,N224AA,ATL,DFW,9345.0,10973.0
1,9,12.0,17.0,CO,N76064,IAH,HNL,11596.0,10109.0
1,6,13.0,14.0,XE,N16999,ALB,EWR,3625.0,4089.0
1,6,9.0,12.0,CO,N73278,ORD,IAH,8366.0,8490.0
1,6,8.0,10.0,DH,N451FJ,CAE,CVG,5264.0,5397.0
1,24,10.0,11.0,AA,N5TDAA,DFW,ONT,5894.0,6947.0
1,24,14.0,16.0,XE,N14902,BDL,CLE,10262.0,7419.0
1,18,12.0,13.0,OO,N446SW,OKC,SLC,7670.0,6483.0
1,18,9.0,10.0,WN,N314,SMF,PDX,4668.0,5073.0
1,21,20.0,21.0,XE,N27506,CLE,LGA,4880.0,6094.0
1,6,19.0,21.0,US,N177UW,CLT,LGA,8073.0,9846.0
1,21,20.0,22.0,OH,N496CA,LGA,RDU,4880.0,4533.0
1,27,11.0,14.0,UA,N453UA,ORD,PDX,8625.0,10475.0
1,9,18.0,19.0,OH,N446CA,CVG,GRB,8016.0,6346.0
1,27,11.0,12.0,WN,N364,PDX,GEG,8625.0,6812.0
1,6,9.0,10.0,US,N590US,PHL,ALB,8366.0,10225.0
1,12,19.0,19.0,OH,N964CA,CVG,TOL,5678.0,7335.0
1,3,15.0,17.0,AA,N533AA,DFW,COS,15147.0,19599.0
1,3,22.0,2.0,B6,N553JB,JFK,OAK,3873.0,4326.0
1,21,12.0,14.0,WN,N783,LAX,ABQ,10676.0,7491.0
1,21,11.0,11.0,OO,N441SW,SLC,RNO,5932.0,6543.0
1,18,12.0,14.0,AA,N5BWAA,MIA,TPA,7670.0,8538.0
1,6,19.0,21.0,WN,N669,LAX,TUS,8073.0,6494.0
1,18,7.0,11.0,CO,N59338,BOS,IAH,3687.0,3558.0
1,3,12.0,19.0,NW,N503US,LAS,DTW,5117.0,5844.0
1,12,18.0,21.0,US,N630AU,TPA,PHL,6218.0,7350.0
1,6,22.0,22.0,EV,N631AS,ATL,PFN,4804.0,4044.0
1,9,15.0,17.0,MQ,N649MQ,ORD,DSM,10262.0,12090.0
1,6,14.0,15.0,WN,N676,MDW,BNA,19495.0,22990.0
1,12,10.0,13.0,AS,N943AS,SEA,LAX,5911.0,4209.0
1,27,8.0,11.0,US,N574US,PNS,CLT,4760.0,6158.0
1,27,11.0,13.0,AA,N531AA,DFW,ORD,8625.0,10120.0
1,27,9.0,12.0,US,N172UW,FLL,PHL,3543.0,3778.0
1,3,11.0,12.0,AA,N4UJTW,MCI,DFW,4667.0,4781.0
1,18,17.0,18.0,EV,N902EV,ATL,MKE,12392.0,13433.0
1,9,6.0,8.0,CO,N18622,MEM,IAH,6442.0,6780.0
1,21,23.0,1.0,HP,N164AW,LAS,OAK,6745.0,5558.0
1,15,14.0,15.0,DH,N412FJ,FWA,CVG,10919.0,7768.0
1,3,6.0,9.0,DL,N395DN,EWR,ATL,5117.0,4789.0
1,6,19.0,20.0,US,N518AU,CLT,IAD,8073.0,6945.0
1,6,17.0,19.0,XE,N19503,ABE,CLE,12677.0,15091.0
1,3,9.0,12.0,XE,N13975,MSP,CLE,14871.0,15216.0
1,12,20.0,22.0,FL,N958AT,ATL,MIA,13381.0,15928.0
1,15,10.0,12.0,OH,N457CA,CVG,AVP,6979.0,4971.0
1,18,20.0,21.0,WN,N103,SAT,HOU,4174.0,3116.0
1,6,7.0,10.0,CO,N14613,EWR,DFW,19225.0,24399.0
1,6,12.0,13.0,UA,N312UA,LGA,ORD,13538.0,15718.0
1,9,22.0,0.0,DL,N829MH,ATL,FLL,10262.0,11652.0
1,1,20.0,21.0,WN,N404,JAX,TPA,8586.0,6293.0
1,21,13.0,16.0,OO,N919SW,SFO,SLC,9486.0,7662.0
1,15,9.0,10.0,HA,N481HA,HNL,OGG,14687.0,17191.0
1,18,21.0,23.0,NW,N332NB,DTW,RDU,3943.0,4636.0
1,15,7.0,7.0,WN,N766,CMH,MDW,7682.0,8977.0
1,18,8.0,10.0,AA,N522AA,STL,LAX,10844.0,13545.0
1,21,6.0,8.0,XE,N12996,ISP,CLE,6297.0,4462.0
1,21,9.0,10.0,WN,N343,BWI,RDU,13062.0,14364.0
1,6,13.0,20.0,DL,N608DA,SAN,ATL,3625.0,4156.0
1,9,17.0,18.0,FL,N968AT,BOS,BWI,13017.0,9179.0
1,9,12.0,13.0,MQ,N813MQ,GSP,ORD,11596.0,13260.0
1,18,21.0,22.0,OH,N442CA,LGA,BNA,3943.0,3728.0
1,12,12.0,14.0,WN,N523,LAS,PHX,10991.0,11587.0
1,21,10.0,11.0,WN,N347,SMF,ONT,7139.0,8586.0
1,24,10.0,12.0,AA,N5EAAA,SJU,MIA,5894.0,5080.0
1,12,14.0,15.0,DL,N629DL,ATL,SAV,10262.0,13209.0
1,18,20.0,21.0,AS,N773AS,OAK,SNA,4174.0,5139.0
1,21,18.0,20.0,HP,N158AW,SAN,PHX,9270.0,8140.0
1,24,16.0,17.0,OH,N483CA,ERI,CVG,6412.0,8286.0
1,9,15.0,16.0,NW,N764NC,DTW,MCI,10262.0,10292.0
1,9,22.0,0.0,UA,N820UA,SFO,PDX,10262.0,7356.0
1,24,7.0,8.0,OO,N962SW,SMF,SFO,3687.0,2861.0
1,12,18.0,20.0,US,N397US,PHL,MSP,6218.0,7063.0
1,12,6.0,7.0,US,N708UW,LGA,DCA,9899.0,9695.0
1,1,15.0,21.0,NW,N543US,SEA,MSP,6092.0,4866.0
1,6,8.0,11.0,AA,N5FKAA,SJU,BOS,5264.0,4891.0
1,1,10.0,13.0,CO,N92874,IAH,ORD,10262.0,11412.0
1,21,11.0,14.0,TZ,N322TZ,IND,MIA,5932.0,5610.0
1,3,15.0,20.0,CO,N33714,IAH,LGA,15147.0,11152.0
1,15,15.0,16.0,NW,N753NW,DTW,GRR,7191.0,5708.0
1,9,5.0,7.0,US,N777AU,BWI,CLT,9134.0,8099.0
1,21,21.0,22.0,WN,N104,DAL,LBB,5228.0,6512.0
1,1,17.0,19.0,UA,N308UA,DEN,SMF,8610.0,9355.0
1,15,14.0,20.0,DL,N686DA,PHX,ATL,10919.0,12140.0
1,21,14.0,16.0,AS,N796AS,PDX,SAN,10844.0,10501.0
1,18,15.0,17.0,US,N183UW,PHL,CLT,7229.0,6346.0
1,6,19.0,20.0,UA,N540UA,SFO,SAN,8073.0,6646.0
1,6,15.0,18.0,XE,N22909,BNA,CLE,12395.0,10837.0
1,12,11.0,12.0,CO,N32626,BOS,EWR,3383.0,3042.0
1,1,6.0,8.0,OO,N464SW,GSO,DFW,6121.0,7776.0
1,1,20.0,22.0,US,N624AU,PIT,MCO,8586.0,10643.0
1,3,21.0,0.0,UA,N940UA,DEN,MCI,6961.0,7879.0
1,27,18.0,20.0,AA,N549AA,CLT,DFW,8016.0,9496.0
1,6,19.0,21.0,UA,N366UA,ORD,DEN,8073.0,9916.0
1,6,13.0,14.0,CO,N14667,IAH,AUS,3625.0,3365.0
1,9,10.0,14.0,XE,N27152,IAH,PIT,14323.0,10310.0
1,3,14.0,21.0,UA,N421UA,SFO,BOS,3597.0,2936.0
1,21,17.0,21.0,AA,N396AA,LAX,KOA,9345.0,7026.0
1,15,17.0,19.0,DL,N930DL,ATL,PHL,10262.0,9171.0
1,9,6.0,8.0,WN,N744,SAN,SMF,6442.0,5738.0
1,9,18.0,19.0,DH,N330UE,IAD,HPN,8016.0,6701.0
1,24,12.0,14.0,UA,N387UA,DEN,PHX,9548.0,10260.0
1,6,9.0,10.0,NW,N8929E,DTW,PVD,8366.0,10838.0
1,6,18.0,20.0,DH,N429FJ,CVG,GSP,7757.0,6531.0
1,21,16.0,19.0,B6,N583JB,JFK,TPA,8728.0,9637.0
1,3,11.0,13.0,UA,N493UA,PHL,DEN,4667.0,4186.0
1,12,14.0,15.0,NW,N622NW,CMH,MSP,10262.0,9338.0
1,1,8.0,8.0,HA,N484HA,LIH,HNL,22270.0,26463.0
1,15,7.0,11.0,AA,N634AA,BWI,SJU,7682.0,7048.0
1,6,18.0,21.0,MQ,N628MQ,DFW,CMH,7757.0,9108.0
1,12,12.0,12.0,WN,N762,TPA,MSY,10991.0,12343.0
1,6,9.0,13.0,AA,N5EJAA,DFW,MCO,8366.0,6909.0
1,12,13.0,16.0,UA,N303UA,RSW,ORD,6297.0,7554.0
1,15,6.0,8.0,FL,N992AT,BOS,BWI,8714.0,8215.0
1,18,19.0,20.0,XE,N13979,IAH,VPS,13029.0,11493.0
1,24,17.0,18.0,WN,N89,HOU,MSY,4804.0,5170.0
1,18,7.0,8.0,EV,N883AS,CAE,ATL,3687.0,3333.0
1,27,13.0,15.0,AA,N409AA,LGA,BNA,9646.0,10576.0
1,1,17.0,18.0,NW,N759NW,DTW,ORF,8610.0,8196.0
1,12,19.0,23.0,AS,N706AS,ANC,SEA,5678.0,5349.0
1,27,20.0,23.0,US,N423US,DCA,FLL,14300.0,15771.0
1,9,16.0,18.0,B6,N548JB,MCO,JFK,4823.0,4224.0
1,21,18.0,21.0,NW,N752NW,BNA,MSP,9270.0,7822.0
1,12,11.0,13.0,EV,N859AS,DFW,VPS,3383.0,2638.0
1,6,18.0,19.0,AS,N618AS,PDX,OAK,7757.0,8837.0
1,21,17.0,19.0,US,N390US,PIT,IAH,9345.0,7907.0
1,12,9.0,14.0,NW,N591NW,SEA,MSP,8372.0,9236.0
1,18,8.0,10.0,AA,N3BPAA,MCI,ORD,10844.0,7824.0
1,21,6.0,7.0,MQ,N717MQ,DCA,BOS,6297.0,5426.0
1,6,12.0,14.0,AA,N410AA,ORD,IND,13538.0,14119.0
1,12,11.0,13.0,NW,N615NW,DTW,EWR,3383.0,2799.0
1,9,7.0,9.0,XE,N14105,DSM,IAH,15554.0,19840.0
1,18,11.0,14.0,US,N532AU,MCI,PIT,13555.0,12184.0
1,27,7.0,8.0,WN,N503,SLC,PHX,5281.0,6168.0
1,21,17.0,20.0,OH,N488CA,ATL,HPN,9345.0,6797.0
1,3,13.0,15.0,US,N712UW,MCO,DCA,6092.0,4674.0
1,27,17.0,19.0,XE,N11565,EWR,CLT,4878.0,3479.0
1,21,11.0,14.0,DL,N3754A,LGA,DFW,5932.0,6945.0
1,3,19.0,20.0,WN,N432,OAK,SNA,6478.0,5618.0
1,24,16.0,18.0,DL,N3768,CVG,SFO,6412.0,6012.0
1,24,6.0,7.0,MQ,N837MQ,GSP,ORD,4030.0,3501.0
1,21,13.0,16.0,DL,N680DA,BOS,ATL,9486.0,11724.0
1,9,17.0,18.0,NW,N369NB,DTW,ALB,13017.0,10774.0
1,12,13.0,15.0,DL,N646DL,BWI,CVG,6297.0,4463.0
1,18,18.0,21.0,NW,N525US,MSP,IND,8246.0,7046.0
1,24,12.0,16.0,WN,N422,LAS,OMA,9548.0,12375.0
1,3,8.0,10.0,FL,N993AT,PBI,ATL,12524.0,14243.0
1,6,14.0,20.0,UA,N665UA,LAX,ORD,19495.0,15045.0
1,18,12.0,12.0,OO,N268UE,LAX,SAN,7670.0,5594.0
1,21,22.0,23.0,US,N525AU,PIT,RDU,6955.0,6995.0
1,6,20.0,23.0,UA,N836UA,ORD,SJC,9663.0,11276.0
1,24,12.0,13.0,WN,N527,SJC,BUR,9548.0,8151.0
1,21,5.0,7.0,FL,N987AT,FNT,ATL,10861.0,12185.0
1,1,21.0,23.0,DL,N916DE,ATL,ALB,8238.0,7993.0
1,9,14.0,22.0,B6,N523JB,LGB,JFK,7757.0,8480.0
1,21,11.0,13.0,OH,N653CA,CVG,BUF,5932.0,6259.0
1,1,18.0,20.0,AA,N2DBAA,ORD,MSP,4823.0,4653.0
1,24,10.0,16.0,HP,N634AW,PHX,CMH,5894.0,7310.0
1,27,11.0,14.0,AA,N487AA,MCO,BOS,8625.0,8780.0
1,6,15.0,23.0,AA,N323AA,SFO,JFK,12395.0,9765.0
1,18,6.0,7.0,OO,N453SW,BIL,SLC,6347.0,6033.0
1,3,16.0,19.0,HP,N309AW,PHX,MCI,14011.0,12011.0
1,21,7.0,9.0,OO,N587SW,BTM,SLC,9646.0,11595.0
1,21,18.0,20.0,NW,N963N,EWR,DTW,9270.0,8941.0
1,3,18.0,20.0,DH,N673BR,PWM,IAD,8855.0,6497.0
1,1,10.0,13.0,OH,N781CA,LIT,CVG,10262.0,12368.0
1,12,9.0,9.0,MQ,N845MQ,GRR,ORD,8372.0,8394.0
1,3,8.0,10.0,DH,N307UE,IAD,TYS,12524.0,11493.0
1,27,11.0,12.0,DL,N316DL,ATL,IND,8625.0,6853.0
1,1,18.0,21.0,DH,N628BR,ORD,TYS,4823.0,4946.0
1,18,20.0,21.0,OO,N187SW,SLC,COD,4174.0,3430.0
1,18,8.0,10.0,UA,N793UA,DEN,SFO,10844.0,8347.0
1,27,10.0,11.0,NW,N8932E,ORD,MSP,5894.0,4940.0
1,6,18.0,19.0,HA,N487HA,HNL,ITO,7757.0,8031.0
1,21,13.0,16.0,NW,N762NC,STL,DTW,9486.0,11664.0
1,6,10.0,13.0,AA,N5EXAA,FLL,LAX,11753.0,9226.0
1,9,8.0,9.0,UA,N560UA,ORD,LAS,10697.0,13260.0
1,12,11.0,11.0,DL,N305WA,SLC,SJC,3383.0,3599.0
1,21,20.0,22.0,AA,N402AA,DFW,ICT,4880.0,3994.0
1,6,10.0,11.0,US,N606AU,PHL,CLT,11753.0,9675.0
1,18,17.0,20.0,AA,N499AA,DFW,PBI,12392.0,10920.0
1,18,16.0,17.0,XE,N27523,LEX,CLE,4437.0,4116.0
1,21,19.0,21.0,AA,N4TFTW,DFW,STL,6587.0,5132.0
1,15,6.0,7.0,DH,N309UE,SCE,IAD,8714.0,9490.0
1,12,14.0,17.0,MQ,N803MQ,LIT,ORD,10262.0,8826.0
1,15,13.0,16.0,NW,N331NW,FLL,DTW,6961.0,4952.0
1,12,12.0,13.0,OO,N223SW,SFO,RDD,10991.0,8301.0
1,24,17.0,21.0,AA,N508AA,LGA,HOU,4804.0,5617.0
1,15,18.0,22.0,MQ,N833MQ,DFW,FWA,8855.0,9278.0
1,6,8.0,11.0,MQ,N515MQ,ORD,CLE,5264.0,5807.0
