Month,DayofMonth,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,TailNum,Origin,Dest,Price
1,24,14.0,14,14.0,14,NW,N982US,MSP,RAP,10262.0
1,9,18.0,18,19.0,19,HP,N812AW,LAX,LAS,8016.0
1,27,18.0,18,20.0,20,DL,N904DE,ATL,MSP,8016.0
1,3,14.0,13,17.0,16,DL,N931DL,IAH,ATL,3597.0
1,6,16.0,16,18.0,19,TZ,N320TZ,IND,PIE,11432.0
1,18,11.0,11,13.0,13,EV,N884AS,MLU,ATL,13555.0
1,18,6.0,6,9.0,8,OH,N331CA,ABE,ATL,6347.0
1,9,18.0,18,19.0,19,WN,N82,HOU,DAL,8016.0
1,6,13.0,13,14.0,14,DH,N414FJ,CVG,DAY,3625.0
1,18,8.0,8,9.0,10,DH,N679BR,ICT,ORD,10844.0
1,15,19.0,19,20.0,20,CO,N18112,CLE,BWI,6117.0
1,6,9.0,9,10.0,10,UA,N388UA,MCI,DEN,8366.0
1,6,19.0,19,21.0,21,US,N736UW,LGA,PIT,8073.0
1,1,8.0,8,11.0,12,OH,N977CA,DFW,CVG,22270.0
1,6,11.0,10,17.0,16,DL,N628DL,SLC,EWR,3383.0
1,21,14.0,14,15.0,15,WN,N688,BNA,MDW,10844.0
1,21,18.0,18,21.0,22,CO,N23657,EWR,SAT,9270.0
1,1,6.0,6,8.0,7,UA,N557UA,ORD,DEN,6121.0
1,12,18.0,18,19.0,19,DL,N2310,SLC,SJC,6218.0
1,15,19.0,19,21.0,21,HP,N636AW,DTW,PHX,6117.0
1,6,6.0,7,9.0,9,HP,N619AW,LAS,PHX,13941.0
1,21,10.0,10,11.0,11,OO,N234SW,LAX,CLD,7139.0
1,24,13.0,13,16.0,16,DH,N669BR,ORD,CHS,11134.0
1,12,12.0,13,15.0,15,DL,N913DL,LGA,ATL,10991.0
1,27,19.0,19,21.0,21,DL,N993DL,ATL,LGA,6540.0
1,21,20.0,21,21.0,21,FL,N945AT,ATL,MEM,4880.0
1,12,13.0,13,16.0,16,NW,N342NB,MSP,CLE,6297.0
1,12,15.0,15,16.0,16,MQ,N856MQ,ORD,BMI,7229.0
1,18,20.0,20,23.0,23,WN,N429,STL,BWI,4174.0
1,21,15.0,15,16.0,16,OO,N585SW,IAH,ACT,4649.0
1,3,20.0,19,22.0,21,FL,N933AT,PHL,TPA,15318.0
1,6,18.0,18,21.0,20,AA,N7ABAA,ORD,DFW,7757.0
1,15,9.0,9,10.0,10,WN,N798,OAK,LAX,14687.0
1,27,11.0,11,16.0,16,AA,N373AA,DFW,HNL,8625.0
1,6,6.0,6,8.0,8,CO,N15659,BTR,IAH,13941.0
1,24,14.0,15,16.0,16,DH,N681BR,MDT,ORD,10262.0
1,24,18.0,18,23.0,23,UA,N482UA,DEN,LGA,7303.0
1,18,15.0,15,21.0,21,NW,N506US,SAN,MSP,7229.0
1,27,7.0,7,9.0,8,WN,N746,BWI,BNA,5281.0
1,3,17.0,15,21.0,19,WN,N412,PHX,STL,14871.0
1,1,16.0,16,19.0,18,AA,N287AA,FLL,ORD,13302.0
1,6,7.0,7,8.0,8,WN,N395,FLL,JAX,19225.0
1,27,22.0,22,0.0,0,FL,N973AT,ATL,MSP,10441.0
1,3,19.0,18,20.0,19,MQ,N508MQ,CMH,ORD,6478.0
1,21,8.0,8,10.0,10,AA,N2DDAA,ORD,XNA,3332.0
1,12,15.0,15,18.0,19,UA,N313UA,DEN,MSY,7229.0
1,24,11.0,11,12.0,12,HP,N168AW,LAX,LAS,4667.0
1,18,21.0,19,22.0,20,US,N700UW,PHL,BOS,3943.0
1,9,16.0,16,17.0,17,AA,N411AA,AUS,HOU,4823.0
1,24,17.0,17,19.0,19,WN,N304,BWI,MDW,4804.0
1,27,17.0,17,19.0,18,MQ,N503MQ,AMA,DFW,4878.0
1,3,12.0,12,13.0,13,XE,N16981,BTR,IAH,5117.0
1,12,11.0,11,14.0,14,US,N438US,PIT,TPA,3383.0
1,18,13.0,13,16.0,16,NW,N351NB,MSP,BDL,4441.0
1,12,13.0,13,15.0,15,DL,N656DL,LAS,SLC,6297.0
1,6,11.0,11,13.0,13,CO,N19621,MCI,IAH,3383.0
1,6,8.0,8,11.0,11,US,N374US,MCI,PHL,5264.0
1,6,19.0,18,20.0,19,MQ,N618MQ,LBB,DFW,8073.0
1,3,13.0,13,15.0,16,CO,N14628,IAH,MSP,6092.0
1,12,13.0,13,21.0,21,AS,N623AS,SEA,DCA,6297.0
1,9,20.0,18,21.0,20,AA,N2BGAA,ORD,MSP,14939.0
1,18,13.0,13,18.0,18,CO,N75851,LAS,IAH,4441.0
1,3,6.0,6,7.0,7,UA,N335UA,SFO,LAS,5117.0
1,27,6.0,6,7.0,7,WN,N307,ABQ,ELP,2575.0
1,15,9.0,9,10.0,10,CO,N13665,IAH,TUL,14687.0
1,12,22.0,22,23.0,23,EV,N536AS,ATL,CSG,13817.0
1,12,11.0,11,12.0,12,EV,N923EV,BQK,ATL,3383.0
1,27,20.0,20,21.0,21,AS,N778AS,OAK,SNA,14300.0
1,1,18.0,18,20.0,20,US,N711UW,PHL,DEN,4823.0
1,3,17.0,17,18.0,18,TZ,N310TZ,MDW,MSP,14871.0
1,15,18.0,18,21.0,21,DL,N925DL,PVD,ATL,8855.0
1,9,12.0,11,13.0,12,MQ,N804MQ,ORD,CMI,11596.0
1,24,16.0,16,17.0,17,UA,N544UA,LAX,SFO,6412.0
1,18,18.0,18,19.0,19,WN,N608,GEG,SEA,8246.0
1,27,14.0,14,16.0,16,WN,N385,SLC,PHX,12898.0
1,27,21.0,20,21.0,21,WN,N639,PDX,GEG,5775.0
1,24,6.0,6,9.0,8,FL,N960AT,MKE,ATL,4030.0
1,3,6.0,6,9.0,8,B6,N554JB,TPA,JFK,5117.0
1,24,7.0,7,9.0,10,OH,N495CA,ATL,HPN,3687.0
1,9,20.0,20,21.0,22,AA,N3ATAA,DFW,RNO,14939.0
1,12,13.0,13,16.0,16,NW,N376NW,MSP,PHL,6297.0
1,21,11.0,11,17.0,17,WN,N709,PHX,RDU,5932.0
1,1,13.0,14,15.0,15,DH,N636BR,JAX,IAD,3597.0
1,27,8.0,8,10.0,10,AA,N214AA,DCA,DFW,4760.0
1,9,12.0,12,15.0,14,XE,N17928,BNA,CLE,11596.0
1,21,12.0,13,13.0,14,AS,N708AS,FAI,ANC,10676.0
1,6,19.0,17,20.0,17,OO,N948SW,ORD,CID,8073.0
1,9,20.0,20,21.0,21,OO,N189SW,DEN,CPR,14939.0
1,12,9.0,9,12.0,12,WN,N507,BHM,BWI,8372.0
1,3,12.0,12,13.0,13,WN,N663,LAS,LAX,5117.0
1,15,15.0,15,18.0,19,TZ,N550TZ,MDW,RSW,7191.0
1,18,14.0,14,15.0,16,UA,N318UA,STL,DEN,6245.0
1,21,11.0,11,13.0,13,AA,N422AA,ORD,ELP,5932.0
1,6,11.0,11,12.0,12,WN,N641,ORF,BWI,3383.0
1,12,12.0,13,13.0,13,DH,N333UE,IAD,CHO,10991.0
1,27,17.0,17,19.0,19,US,N441US,PIT,PHL,4878.0
1,21,19.0,19,20.0,20,MQ,N739MQ,RDU,LGA,6587.0
1,9,19.0,19,22.0,22,WN,N732,MSY,OAK,10577.0
1,18,12.0,12,13.0,13,AA,N5TJAA,DFW,LGB,7670.0
1,6,19.0,17,20.0,19,OO,N460SW,DFW,SLC,8073.0
1,18,6.0,7,9.0,10,UA,N838UA,PHL,SFO,6347.0
1,18,10.0,10,12.0,12,UA,N314UA,EWR,ORD,3943.0
1,6,12.0,12,14.0,14,AA,N227AA,DFW,MCI,13538.0
1,3,16.0,16,17.0,17,OO,N925SW,SMF,SFO,14011.0
1,27,23.0,20,1.0,22,WN,N689,BDL,BWI,11150.0
1,15,7.0,7,9.0,9,WN,N428,LAX,ABQ,7682.0
1,15,18.0,17,21.0,21,US,N113UW,PHL,SFO,8855.0
1,9,22.0,20,23.0,21,AS,N795AS,SFO,PSP,10262.0
1,9,17.0,17,18.0,18,CO,N14840,IAH,AUS,13017.0
1,21,20.0,20,22.0,22,DL,N6703D,MCO,LGA,4880.0
1,1,19.0,20,21.0,21,NW,N9331,PHL,DTW,10651.0
1,9,12.0,12,13.0,13,NW,N8926E,IAH,MEM,11596.0
1,27,14.0,14,16.0,16,XE,N29906,BNA,IAH,12898.0
1,27,17.0,16,19.0,19,UA,N946UA,ORD,IAH,4878.0
1,21,15.0,15,17.0,17,UA,N942UA,BOS,ORD,4649.0
1,21,15.0,15,16.0,16,OH,N927CA,CVG,ORF,4649.0
1,15,20.0,20,22.0,22,NW,N9335,EWR,MSP,4804.0
1,27,19.0,19,22.0,22,UA,N447UA,ORD,PHL,6540.0
1,12,17.0,17,20.0,19,DH,N701BR,ICT,ORD,12778.0
1,1,11.0,11,17.0,18,DL,N1200K,LAX,ATL,19630.0
1,24,22.0,22,5.0,5,NW,N536US,SEA,DTW,3897.0
1,18,9.0,9,11.0,10,AA,N459AA,PVD,ORD,4668.0
1,18,15.0,16,16.0,17,US,N176UW,DCA,PIT,7229.0
1,9,18.0,18,20.0,21,US,N622AU,MCO,PHL,8016.0
1,18,18.0,17,19.0,19,US,N575US,CLT,ATL,8246.0
1,6,17.0,17,17.0,18,OH,N931CA,LEX,CVG,12677.0
1,15,11.0,11,13.0,13,AA,N585AA,DFW,OAK,10262.0
1,21,12.0,12,14.0,14,WN,N630,SAN,PHX,10676.0
1,9,11.0,11,12.0,13,WN,N410,MDW,CLE,7202.0
1,15,16.0,16,18.0,18,WN,N784,LAS,PHX,13727.0
1,24,7.0,7,11.0,11,EV,N907EV,DFW,CHS,3687.0
1,3,8.0,8,11.0,11,HP,N638AW,PDX,PHX,12524.0
1,27,14.0,14,16.0,16,DL,N6710E,TPA,JFK,12898.0
1,9,8.0,9,11.0,11,UA,N451UA,ORD,DCA,10697.0
1,9,8.0,8,15.0,15,DL,N123DN,SAN,ATL,10697.0
1,6,18.0,17,19.0,18,OO,N212SW,DEN,CPR,7757.0
1,15,10.0,10,12.0,13,US,N512AU,ORD,CLT,6979.0
1,27,17.0,17,18.0,19,AS,N775AS,PHX,PDX,4878.0
1,21,11.0,11,12.0,12,FL,N943AT,RDU,ATL,5932.0
1,1,16.0,16,17.0,17,UA,N471UA,ORD,GRR,13302.0
1,21,17.0,16,18.0,18,AA,N224AA,ATL,DFW,9345.0
1,9,12.0,12,17.0,16,CO,N76064,IAH,HNL,11596.0
1,6,13.0,13,14.0,14,XE,N16999,ALB,EWR,3625.0
1,6,9.0,9,12.0,12,CO,N73278,ORD,IAH,8366.0
1,6,8.0,8,10.0,10,DH,N451FJ,CAE,CVG,5264.0
1,24,10.0,10,11.0,11,AA,N5TDAA,DFW,ONT,5894.0
1,24,14.0,14,16.0,16,XE,N14902,BDL,CLE,10262.0
1,18,12.0,12,13.0,13,OO,N446SW,OKC,SLC,7670.0
1,18,9.0,9,10.0,10,WN,N314,SMF,PDX,4668.0
1,21,20.0,20,21.0,22,XE,N27506,CLE,LGA,4880.0
1,6,19.0,18,21.0,20,US,N177UW,CLT,LGA,8073.0
1,21,20.0,20,22.0,22,OH,N496CA,LGA,RDU,4880.0
1,27,11.0,10,14.0,12,UA,N453UA,ORD,PDX,8625.0
1,9,18.0,18,19.0,19,OH,N446CA,CVG,GRB,8016.0
1,27,11.0,11,12.0,12,WN,N364,PDX,GEG,8625.0
1,6,9.0,9,10.0,10,US,N590US,PHL,ALB,8366.0
1,12,19.0,19,19.0,19,OH,N964CA,CVG,TOL,5678.0
1,3,15.0,15,17.0,16,AA,N533AA,DFW,COS,15147.0
1,3,22.0,22,2.0,2,B6,N553JB,JFK,OAK,3873.0
1,21,12.0,12,14.0,14,WN,N783,LAX,ABQ,10676.0
1,21,11.0,11,11.0,11,OO,N441SW,SLC,RNO,5932.0
1,18,12.0,13,14.0,14,AA,N5BWAA,MIA,TPA,7670.0
1,6,19.0,19,21.0,21,WN,N669,LAX,TUS,8073.0
1,18,7.0,7,11.0,11,CO,N59338,BOS,IAH,3687.0
1,3,12.0,12,19.0,19,NW,N503US,LAS,DTW,5117.0
1,12,18.0,18,21.0,21,US,N630AU,TPA,PHL,6218.0
1,6,22.0,22,22.0,22,EV,N631AS,ATL,PFN,4804.0
1,9,15.0,14,17.0,16,MQ,N649MQ,ORD,DSM,10262.0
1,6,14.0,13,15.0,14,WN,N676,MDW,BNA,19495.0
1,12,10.0,10,13.0,13,AS,N943AS,SEA,LAX,5911.0
1,27,8.0,8,11.0,11,US,N574US,PNS,CLT,4760.0
1,27,11.0,11,13.0,13,AA,N531AA,DFW,ORD,8625.0
1,27,9.0,9,12.0,12,US,N172UW,FLL,PHL,3543.0
1,3,11.0,11,12.0,13,AA,N4UJTW,MCI,DFW,4667.0
1,18,17.0,17,18.0,18,EV,N902EV,ATL,MKE,12392.0
1,9,6.0,6,8.0,8,CO,N18622,MEM,IAH,6442.0
1,21,23.0,23,1.0,1,HP,N164AW,LAS,OAK,6745.0
1,15,14.0,13,15.0,14,DH,N412FJ,FWA,CVG,10919.0
1,3,6.0,6,9.0,9,DL,N395DN,EWR,ATL,5117.0
1,6,19.0,19,20.0,21,US,N518AU,CLT,IAD,8073.0
1,6,17.0,18,19.0,19,XE,N19503,ABE,CLE,12677.0
1,3,9.0,8,12.0,11,XE,N13975,MSP,CLE,14871.0
1,12,20.0,20,22.0,22,FL,N958AT,ATL,MIA,13381.0
1,15,10.0,10,12.0,12,OH,N457CA,CVG,AVP,6979.0
1,18,20.0,20,21.0,21,WN,N103,SAT,HOU,4174.0
1,6,7.0,7,10.0,10,CO,N14613,EWR,DFW,19225.0
1,6,12.0,12,13.0,13,UA,N312UA,LGA,ORD,13538.0
1,9,22.0,22,0.0,23,DL,N829MH,ATL,FLL,10262.0
1,1,20.0,20,21.0,21,WN,N404,JAX,TPA,8586.0
1,21,13.0,12,16.0,15,OO,N919SW,SFO,SLC,9486.0
1,15,9.0,10,10.0,10,HA,N481HA,HNL,OGG,14687.0
1,18,21.0,20,23.0,22,NW,N332NB,DTW,RDU,3943.0
1,15,7.0,7,7.0,7,WN,N766,CMH,MDW,7682.0
1,18,8.0,8,10.0,10,AA,N522AA,STL,LAX,10844.0
1,21,6.0,6,8.0,8,XE,N12996,ISP,CLE,6297.0
1,21,9.0,9,10.0,10,WN,N343,BWI,RDU,13062.0
1,6,13.0,13,20.0,20,DL,N608DA,SAN,ATL,3625.0
1,9,17.0,17,18.0,18,FL,N968AT,BOS,BWI,13017.0
1,9,12.0,12,13.0,13,MQ,N813MQ,GSP,ORD,11596.0
1,18,21.0,19,22.0,21,OH,N442CA,LGA,BNA,3943.0
1,12,12.0,12,14.0,14,WN,N523,LAS,PHX,10991.0
1,21,10.0,10,11.0,12,WN,N347,SMF,ONT,7139.0
1,24,10.0,10,12.0,12,AA,N5EAAA,SJU,MIA,5894.0
1,12,14.0,14,15.0,15,DL,N629DL,ATL,SAV,10262.0
1,18,20.0,20,21.0,21,AS,N773AS,OAK,SNA,4174.0
1,21,18.0,18,20.0,20,HP,N158AW,SAN,PHX,9270.0
1,24,16.0,16,17.0,18,OH,N483CA,ERI,CVG,6412.0
1,9,15.0,15,16.0,16,NW,N764NC,DTW,MCI,10262.0
1,9,22.0,22,0.0,0,UA,N820UA,SFO,PDX,10262.0
1,24,7.0,7,8.0,7,OO,N962SW,SMF,SFO,3687.0
1,12,18.0,18,20.0,20,US,N397US,PHL,MSP,6218.0
1,12,6.0,7,7.0,8,US,N708UW,LGA,DCA,9899.0
1,1,15.0,15,21.0,21,NW,N543US,SEA,MSP,6092.0
1,6,8.0,8,11.0,11,AA,N5FKAA,SJU,BOS,5264.0
1,1,10.0,10,13.0,13,CO,N92874,IAH,ORD,10262.0
1,21,11.0,12,14.0,14,TZ,N322TZ,IND,MIA,5932.0
1,3,15.0,15,20.0,20,CO,N33714,IAH,LGA,15147.0
1,15,15.0,15,16.0,16,NW,N753NW,DTW,GRR,7191.0
1,9,5.0,6,7.0,7,US,N777AU,BWI,CLT,9134.0
1,21,21.0,21,22.0,22,WN,N104,DAL,LBB,5228.0
1,1,17.0,17,19.0,18,UA,N308UA,DEN,SMF,8610.0
1,15,14.0,14,20.0,20,DL,N686DA,PHX,ATL,10919.0
1,21,14.0,15,16.0,17,AS,N796AS,PDX,SAN,10844.0
1,18,15.0,15,17.0,17,US,N183UW,PHL,CLT,7229.0
1,6,19.0,18,20.0,20,UA,N540UA,SFO,SAN,8073.0
1,6,15.0,15,18.0,18,XE,N22909,BNA,CLE,12395.0
1,12,11.0,11,12.0,12,CO,N32626,BOS,EWR,3383.0
1,1,6.0,6,8.0,8,OO,N464SW,GSO,DFW,6121.0
1,1,20.0,20,22.0,22,US,N624AU,PIT,MCO,8586.0
1,3,21.0,21,0.0,23,UA,N940UA,DEN,MCI,6961.0
1,27,18.0,19,20.0,21,AA,N549AA,CLT,DFW,8016.0
1,6,19.0,18,21.0,20,UA,N366UA,ORD,DEN,8073.0
1,6,13.0,13,14.0,14,CO,N14667,IAH,AUS,3625.0
1,9,10.0,10,14.0,14,XE,N27152,IAH,PIT,14323.0
1,3,14.0,13,21.0,21,UA,N421UA,SFO,BOS,3597.0
1,21,17.0,17,21.0,21,AA,N396AA,LAX,KOA,9345.0
1,15,17.0,17,19.0,19,DL,N930DL,ATL,PHL,10262.0
1,9,6.0,6,8.0,8,WN,N744,SAN,SMF,6442.0
1,9,18.0,18,19.0,19,DH,N330UE,IAD,HPN,8016.0
1,24,12.0,12,14.0,14,UA,N387UA,DEN,PHX,9548.0
1,6,9.0,9,10.0,10,NW,N8929E,DTW,PVD,8366.0
1,6,18.0,18,20.0,20,DH,N429FJ,CVG,GSP,7757.0
1,21,16.0,16,19.0,19,B6,N583JB,JFK,TPA,8728.0
1,3,11.0,11,13.0,13,UA,N493UA,PHL,DEN,4667.0
1,12,14.0,14,15.0,15,NW,N622NW,CMH,MSP,10262.0
1,1,8.0,8,8.0,8,HA,N484HA,LIH,HNL,22270.0
1,15,7.0,7,11.0,11,AA,N634AA,BWI,SJU,7682.0
1,6,18.0,17,21.0,20,MQ,N628MQ,DFW,CMH,7757.0
1,12,12.0,12,12.0,12,WN,N762,TPA,MSY,10991.0
1,6,9.0,9,13.0,12,AA,N5EJAA,DFW,MCO,8366.0
1,12,13.0,13,16.0,15,UA,N303UA,RSW,ORD,6297.0
1,15,6.0,6,8.0,8,FL,N992AT,BOS,BWI,8714.0
1,18,19.0,18,20.0,20,XE,N13979,IAH,VPS,13029.0
1,24,17.0,17,18.0,18,WN,N89,HOU,MSY,4804.0
1,18,7.0,7,8.0,8,EV,N883AS,CAE,ATL,3687.0
1,27,13.0,13,15.0,14,AA,N409AA,LGA,BNA,9646.0
1,1,17.0,17,18.0,18,NW,N759NW,DTW,ORF,8610.0
1,12,19.0,19,23.0,23,AS,N706AS,ANC,SEA,5678.0
1,27,20.0,19,23.0,22,US,N423US,DCA,FLL,14300.0
1,9,16.0,16,18.0,18,B6,N548JB,MCO,JFK,4823.0
1,21,18.0,18,21.0,20,NW,N752NW,BNA,MSP,9270.0
1,12,11.0,11,13.0,13,EV,N859AS,DFW,VPS,3383.0
1,6,18.0,18,19.0,19,AS,N618AS,PDX,OAK,7757.0
1,21,17.0,17,19.0,19,US,N390US,PIT,IAH,9345.0
1,12,9.0,9,14.0,14,NW,N591NW,SEA,MSP,8372.0
1,18,8.0,8,10.0,10,AA,N3BPAA,MCI,ORD,10844.0
1,21,6.0,6,7.0,7,MQ,N717MQ,DCA,BOS,6297.0
1,6,12.0,11,14.0,13,AA,N410AA,ORD,IND,13538.0
1,12,11.0,12,13.0,13,NW,N615NW,DTW,EWR,3383.0
1,9,7.0,7,9.0,9,XE,N14105,DSM,IAH,15554.0
1,18,11.0,12,14.0,15,US,N532AU,MCI,PIT,13555.0
1,27,7.0,7,8.0,9,WN,N503,SLC,PHX,5281.0
1,21,17.0,17,20.0,20,OH,N488CA,ATL,HPN,9345.0
1,3,13.0,13,15.0,15,US,N712UW,MCO,DCA,6092.0
1,27,17.0,17,19.0,19,XE,N11565,EWR,CLT,4878.0
1,21,11.0,12,14.0,15,DL,N3754A,LGA,DFW,5932.0
1,3,19.0,18,20.0,20,WN,N432,OAK,SNA,6478.0
1,24,16.0,16,18.0,18,DL,N3768,CVG,SFO,6412.0
1,24,6.0,6,7.0,7,MQ,N837MQ,GSP,ORD,4030.0
1,21,13.0,13,16.0,16,DL,N680DA,BOS,ATL,9486.0
1,9,17.0,17,18.0,18,NW,N369NB,DTW,ALB,13017.0
1,12,13.0,13,15.0,15,DL,N646DL,BWI,CVG,6297.0
1,18,18.0,19,21.0,21,NW,N525US,MSP,IND,8246.0
1,24,12.0,12,16.0,16,WN,N422,LAS,OMA,9548.0
1,3,8.0,9,10.0,10,FL,N993AT,PBI,ATL,12524.0
1,6,14.0,14,20.0,20,UA,N665UA,LAX,ORD,19495.0
1,18,12.0,11,12.0,12,OO,N268UE,LAX,SAN,7670.0
1,21,22.0,22,23.0,23,US,N525AU,PIT,RDU,6955.0
1,6,20.0,19,23.0,22,UA,N836UA,ORD,SJC,9663.0
1,24,12.0,12,13.0,13,WN,N527,SJC,BUR,9548.0
1,21,5.0,5,7.0,7,FL,N987AT,FNT,ATL,10861.0
1,1,21.0,21,23.0,23,DL,N916DE,ATL,ALB,8238.0
1,9,14.0,14,22.0,22,B6,N523JB,LGB,JFK,7757.0
1,21,11.0,11,13.0,12,OH,N653CA,CVG,BUF,5932.0
1,1,18.0,18,20.0,20,AA,N2DBAA,ORD,MSP,4823.0
1,24,10.0,10,16.0,15,HP,N634AW,PHX,CMH,5894.0
1,27,11.0,11,14.0,14,AA,N487AA,MCO,BOS,8625.0
1,6,15.0,15,23.0,23,AA,N323AA,SFO,JFK,12395.0
1,18,6.0,6,7.0,7,OO,N453SW,BIL,SLC,6347.0
1,3,16.0,15,19.0,19,HP,N309AW,PHX,MCI,14011.0
1,21,7.0,8,9.0,9,OO,N587SW,BTM,SLC,9646.0
1,21,18.0,18,20.0,20,NW,N963N,EWR,DTW,9270.0
1,3,18.0,18,20.0,20,DH,N673BR,PWM,IAD,8855.0
1,1,10.0,10,13.0,13,OH,N781CA,LIT,CVG,10262.0
1,12,9.0,9,9.0,9,MQ,N845MQ,GRR,ORD,8372.0
1,3,8.0,8,10.0,10,DH,N307UE,IAD,TYS,12524.0
1,27,11.0,11,12.0,12,DL,N316DL,ATL,IND,8625.0
1,1,18.0,17,21.0,20,DH,N628BR,ORD,TYS,4823.0
1,18,20.0,20,21.0,21,OO,N187SW,SLC,COD,4174.0
1,18,8.0,8,10.0,10,UA,N793UA,DEN,SFO,10844.0
1,27,10.0,10,11.0,11,NW,N8932E,ORD,MSP,5894.0
1,6,18.0,18,19.0,19,HA,N487HA,HNL,ITO,7757.0
1,21,13.0,13,16.0,16,NW,N762NC,STL,DTW,9486.0
1,6,10.0,11,13.0,13,AA,N5EXAA,FLL,LAX,11753.0
1,9,8.0,8,9.0,9,UA,N560UA,ORD,LAS,10697.0
1,12,11.0,11,11.0,12,DL,N305WA,SLC,SJC,3383.0
1,21,20.0,20,22.0,22,AA,N402AA,DFW,ICT,4880.0
1,6,10.0,9,11.0,11,US,N606AU,PHL,CLT,11753.0
1,18,17.0,17,20.0,20,AA,N499AA,DFW,PBI,12392.0
1,18,16.0,16,17.0,18,XE,N27523,LEX,CLE,4437.0
1,21,19.0,19,21.0,21,AA,N4TFTW,DFW,STL,6587.0
1,15,6.0,6,7.0,7,DH,N309UE,SCE,IAD,8714.0
1,12,14.0,14,17.0,16,MQ,N803MQ,LIT,ORD,10262.0
1,15,13.0,13,16.0,16,NW,N331NW,FLL,DTW,6961.0
1,12,12.0,11,13.0,12,OO,N223SW,SFO,RDD,10991.0
1,24,17.0,17,21.0,21,AA,N508AA,LGA,HOU,4804.0
1,15,18.0,18,22.0,22,MQ,N833MQ,DFW,FWA,8855.0
1,6,8.0,7,11.0,9,MQ,N515MQ,ORD,CLE,5264.0
1,6,14.0,14,19.0,20,WN,N353,PHX,IND,19495.0
1,12,16.0,17,20.0,20,AA,N629AA,LGA,MIA,13817.0
1,24,9.0,9,11.0,10,WN,N358,LAX,OAK,3873.0
1,12,18.0,17,19.0,18,MQ,N626MQ,MLI,ORD,6218.0
1,6,18.0,16,22.0,19,AA,N3CTAA,LGA,DFW,7757.0
1,1,15.0,15,17.0,17,EV,N879AS,BTR,ATL,6092.0
1,3,10.0,10,11.0,11,WN,N427,MCI,STL,4107.0
1,24,8.0,8,8.0,9,WN,N716,HOU,ABQ,4812.0
1,24,11.0,11,15.0,15,DL,N394DA,COS,ATL,4667.0
1,18,11.0,11,13.0,13,EV,N844AS,PNS,ATL,13555.0
